연번,검사년도,검사월,수도사업자,정수장명,수원종류,수질검사기관,일반세균,총대장균군,납,불소,비소,셀레늄,수은,시안,크롬,암모니아성질소,질산성질소,카드뮴,페놀,총트리할로메탄,다이아지논,파라티온,1_2-디브로모-3-클로로프로판,페니트로티온,카바릴,1_1_1-트리클로로에탄,테트라클로로에틸렌,트리클로로에틸렌,디클로로메탄,벤젠,톨루엔,에틸벤젠,크실렌,1_1-디클로로에틸렌,사염화탄소,경도,과망간산칼륨소비량,냄새,맛,동,색도,세제,수소이온농도,아연,염소이온,증발잔류물,철,망간,탁도,황산이온,알루미늄,잔류염소,붕소,클로로포름,대장균-분원성대장균군,클로랄하이드레이트,디브로모아세토니트릴,디클로로아세토니트릴,트리클로로아세토니트릴,할로아세틱에시드,브로모디클로로메탄,디브로모클로로메탄,1_4-다이옥산,포름알데히드,브롬산염,우라늄
26,2019,1,경기도 수원시,광교,호소수,수원시상수도사업소,0,불검출,0,0,0,0,0,0,0,0,1.9,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.9,적합,적합,0,0,0,7.4,0.024,19.6,119,0,0.004,0.08,12,0,0.8,0,0.003,불검출,0.0033,0.002,0.0005,0,0.02,0,0,0,0,0,
27,2019,1,경기도 수원시,파장,호소수,수원시상수도사업소,0,불검출,0,0,0,0,0,0,0,0,2.3,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.8,적합,적합,0,0,0,7.4,0,21.6,118,0,0,0.06,14,0,0.8,0,0.05,불검출,0.0028,0.002,0,0,0.028,0.03,0,0,0,0.0005,
28,2019,1,경기도 성남시,복정3,하천수,성남시 맑은물 관리사업소,0,불검출,0,0,0,0,0,0,0,0,2.4,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1.7,적합,적합,0,0,0,7.1,0,25.5,119,0,0,0.06,17,0,0.67,0.01,0.013,불검출,0.0007,0.0013,0.0019,0,0.007,0.007,0.002,0,0,0,
29,2019,1,경기도 의정부시,가능,호소수,경기-보건환경연구원,0,불검출,0,0,0,0,0,0,0,0,1.5,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.6,적합,적합,0,0,0,7,0.007,7.2,81,0,0,0.04,5,0,0.51,0,0.016,불검출,0.0069,0.0014,0,0,0.009,0.009,0.001,0,0,0,
30,2019,1,경기도 안양시,비산정수장,호소수,경기-보건환경연구원,0,불검출,0,0,0,0,0,0,0,0,2.4,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2.1,적합,적합,0,1,0,7.7,0,21.7,106,0,0,0.03,22,0,0.81,0.02,0.02,불검출,0.0011,0,0.0009,0,0.007,0.009,0.008,0,0,0,
31,2019,1,경기도 안양시,청계통합,호소수,경기-보건환경연구원,0,불검출,0,0,0,0,0,0,0,0,2.1,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1.4,적합,적합,0,1,0,7.2,0.003,21.9,90,0,0,0.05,21,0,0.9,0.02,0.019,불검출,0.0007,0,0.0009,0,0.006,0.011,0,0,0,0,
32,2019,1,경기도 안양시,포일,호소수,경기-보건환경연구원,0,불검출,0,0,0,0,0,0,0,0,2.4,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1.8,적합,적합,0,1,0,7.7,0.004,19.3,116,0,0,0.04,23,0,0.98,0.02,0.025,불검출,0.0009,0,0.0007,0,0.009,0.01,0.008,0,0,0,
33,2019,1,경기도 부천시,까치울,호소수,부천시먹는물검사기관,0,불검출,0,0,0,0,0,0,0,0,2.3,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2,적합,적합,0,0,0,7.3,0.015,18.4,98,0,0,0.04,13,0,0.62,0,0.012,불검출,0.0025,0.0014,0.0019,0,0.009,0.006,0,0,0,0,
34,2019,1,경기도 광명시,노온,호소수,(주)한국환경시험연구소,0,불검출,0,0,0,0,0,0,0,0,2.2,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0.9,적합,적합,0,0,0,7.6,0,22.4,109,0,0,0.06,16,0,0.81,0.01,0.007,불검출,0.002,0,0.0014,0,0.016,0.004,0.001,0,0,0,
35,2019,1,경기도 평택시,송탄,복류수,(주)피엘아이환경기술연구원,0,불검출,0,0.2,0,0,0,0,0,0,3.3,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0.3,적합,적합,0,0,0,7.1,0,50.2,252,0,0,0.03,33,0,0.8,0.03,0.017,불검출,0.0026,0.0016,0.0018,0,0.01,0.006,0.004,0,0,0,
36,2019,1,경기도 평택시,유천,복류수,(주)피엘아이환경기술연구원,0,불검출,0,0.41,0,0,0,0,0,0,4.4,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0.4,적합,적합,0,0,0,6.7,0.002,95.1,325,0,0.015,0.03,53,0,0.86,0.05,0.022,불검출,0.0258,0.0018,0.005,0.0006,0.01,0.009,0,0,0,0,
37,2019,1,경기도 동두천시,동두천,하천수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.8,적합,적합,0,0,0,7.5,0,7,96,0,0,0.04,7,0.04,0.73,0,0.004,불검출,0,0,0,0,0.006,0,0,0,0,0,
38,2019,1,경기도 안산시,안산,호소수,안산시상수도사업소,0,불검출,0,0,0,0,0,0,0,0,2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1.9,적합,적합,0,0,0,7.5,0,19.7,101,0,0,0.03,12,0.02,0.76,0.01,0.025,불검출,0.0047,0.0016,0.0015,0.0014,0.02,0.004,0.001,0,0,0,
39,2019,1,경기도 안산시,연성,호소수,안산시상수도사업소,0,불검출,0,0,0,0,0,0,0,0,2.1,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.9,적합,적합,0,0,0,7.4,0,16.4,86,0,0,0.02,12,0,0.78,0,0.02,불검출,0.0047,0.0016,0.0017,0,0.018,0.006,0.002,0,0,0,
40,2019,1,경기도 과천시,과천시맑은물사업소,호소수,(주)피엘아이환경기술연구원,0,불검출,0,0.22,0,0,0,0,0,0,2.4,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0.5,적합,적합,0,1,0,7.5,0,16,55,0,0,0.03,14,0,0.61,0,0.03,불검출,0.0064,0.0008,0.0035,0.0006,0.009,0.006,0,0,0,0,0
41,2019,1,경기도 구리시,토평,하천수,(주)혜성환경,0,불검출,0,0.18,0,0,0,0,0,0,2.6,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1.8,적합,적합,0,1,0,7.5,0.003,23.7,145,0,0,0.08,17,0.03,0.71,0.02,0.019,불검출,0,0,0,0,0,0.009,0.003,0,0,0,
42,2019,1,경기도 남양주시,도곡,하천수,(주)수앤수물환경연구소,0,불검출,0,0,0,0,0,0,0,0,2.6,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,3.2,적합,적합,0,1,0,7.7,0.006,23.5,147,0,0,0.04,17,0,0.6,0,0.012,불검출,0.0026,0,0.0014,0,0.02,0.008,0.004,0,0,0,0
43,2019,1,경기도 남양주시,화도,하천수,(주)수앤수물환경연구소,0,불검출,0,0,0,0,0,0,0,0,1.8,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,적합,적합,0,1,0,7.1,0.003,11.8,67,0,0.005,0.05,8,0,0.65,0,0.018,불검출,0.003,0,0.0016,0,0.05,0.004,0,0,0,0,0
44,2019,1,경기도 군포시,군포,호소수,(주)혜성환경,0,불검출,0,0.17,0,0,0,0,0,0,2.6,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1.5,적합,적합,0,1,0,6.7,0,22.6,133,0,0,0.13,16,0,0.69,0,0.025,불검출,0,0,0,0,0,0.009,0.002,0,0,0,
45,2019,1,경기도 의왕시,청계,호소수,KOTITI시험연구원,0,불검출,0,0,0,0,0,0,0,0,2.4,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,82,1.4,적합,적합,0,0,0,7.4,0.012,21.9,111,0,0,0.21,14,0,0.79,0.01,0.029,불검출,0.0041,0.001,0.0024,0,0.015,0.01,0,0,0,0,
46,2019,1,경기도 하남시,하남,하천수,KOTITI시험연구원,0,불검출,0,0,0,0,0,0,0,0,2.8,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0.9,적합,적합,0,0,0,7.4,0.002,27.4,138,0,0,0.06,19,0.03,0.57,0.02,0.021,불검출,0.0035,0.0012,0.0018,0,0.013,0.011,0.004,0,0,0,0
47,2019,1,경기도 용인시,용인,호소수,용인시 상수도사업소,0,불검출,0,0,0,0,0,0,0,0,1.7,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.7,적합,적합,0,0,0,7.2,0.01,12.5,103,0,0,0.07,8,0,0.75,0.01,0.016,불검출,0.0009,0,0.0008,0,0.012,0.002,0,0,0,0,
48,2019,1,경기도 파주시,문산,하천수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,4,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,적합,적합,0,0,0,7.3,0.002,75.3,89,0,0,0.03,47,0,0.75,0.02,0.01,불검출,0.0015,0,0.0014,0,0.016,0.004,0,0,0,0,
49,2019,1,경기도 이천시,이천,하천수,수원시상수도사업소,0,불검출,0,0,0,0,0,0,0,0,3.1,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,2.4,적합,적합,0,0,0,7.6,0,24.4,121,0,0,0.12,19,0.03,0.74,0.01,0.01,불검출,0.0035,0.0029,0.0009,0,0.038,0,0,0,0,0,
50,2019,1,경기도 안성시,죽산,지하수,국립한경대학교 한경분석센터,0,불검출,0,0.31,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0.9,적합,적합,0,1,0,6.8,0.011,13.7,139,0,0,0.06,10,0,0.46,0,0,불검출,0.002,0,0,0,0.009,0,0,0,0.03,0,0
51,2019,1,경기도 김포시,고촌,호소수,김포시-상수도사업소,0,불검출,0,0,0,0,0,0,0,0,2.5,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1.6,적합,적합,0,0,0,7.4,0,21.4,141,0,0,0.05,14,0,0.66,0,0.014,불검출,0,0.0009,0,0,0.013,0.01,0.004,0,0,0,
52,2019,1,경기도 광주시,광주1,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.8,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,적합,적합,0,0,0,7.4,0,15.5,82,0,0,0.07,9,0,1,0,0.01,불검출,0.0021,0,0.0011,0,0.018,0,0,0,0,0,
53,2019,1,경기도 광주시,광주2,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.7,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.6,적합,적합,0,0,0,7.3,0,15.7,90,0,0,0.06,9,0,1.21,0,0.008,불검출,0.0012,0,0.0008,0,0.015,0,0,0,0,0,
54,2019,1,경기도 광주시,광주3,하천수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.8,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.1,적합,적합,0,0,0,7.3,0,15.6,100,0,0,0.06,9,0,0.99,0.01,0.009,불검출,0.0014,0,0.001,0,0.015,0,0,0,0,0,
55,2019,1,경기도 포천시,관인,지하수,(주)수앤수물환경연구소,0,불검출,0,0.26,0,0,0,0,0,0,1.3,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1.9,적합,적합,0,1,0,6.8,0.002,4.5,112,0,0,0.07,5,0,0.78,0,0,불검출,0,0,0,0,0,0.001,0.002,0,0,0,0
56,2019,1,경기도 포천시,이동,지하수,(주)수앤수물환경연구소,0,불검출,0,0.26,0,0,0,0,0,0,1.5,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.7,적합,적합,0,1,0,6.5,0.009,5.2,29,0,0.035,0.09,5,0,0.73,0,0.006,불검출,0.0017,0,0.001,0,0.028,0.003,0.001,0,0,0,0
57,2019,1,경기도 여주시,여주,하천수,KOTITI시험연구원,0,불검출,0,0,0,0,0,0,0,0,2.4,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2.2,적합,적합,0,0,0,7.8,0,19.6,124,0,0,0.1,16,0.06,0.87,0.02,0.031,불검출,0.0032,0,0.0012,0,0.015,0.01,0,0,0,0,
58,2019,1,경기도 연천군,연천,하천수,KOTITI시험연구원,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,적합,적합,0,0,0,7.6,0,6.1,112,0,0,0.14,7,0.03,0.77,0,0.015,불검출,0.0014,0.0008,0.0008,0,0.006,0.004,0,0,0,0,0
59,2019,1,경기도 가평군,가평통합,지하수,KOTITI시험연구원,0,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.3,적합,적합,0.01,0,0,6.7,0.009,11.6,69,0,0,0.08,6,0,0.33,0,0.015,불검출,0.0018,0.0006,0.0011,0,0.009,0.004,0,0,0,0.0016,0
60,2019,1,경기도 가평군,설악,지하수,KOTITI시험연구원,0,불검출,0,0,0,0,0,0,0,0,2.7,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,적합,적합,0.011,0,0,6.8,0.044,15.4,106,0,0,0.11,9,0,0.52,0,0,불검출,0.0007,0.0008,0,0,0.004,0,0,0,0,0,0.6
61,2019,1,경기도 가평군,현리,지하수,KOTITI시험연구원,0,불검출,0,0,0,0,0,0,0,0,3,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.5,적합,적합,0.014,0,0,7,0.009,9,105,0,0,0.06,11,0,0.56,0,0,불검출,0.0009,0.0005,0.0005,0,0.004,0,0,0,0,0,0.6
62,2019,1,경기도 양평군,양동,복류수,(주)다솔물환경연구소,0,불검출,0,0,0,0,0,0,0,0,4.6,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2.5,적합,적합,0,1,0,7.5,0,10,122,0,0,0.04,9,0,0.95,0,0.01,불검출,0.0024,0,0.0018,0,0.023,0.006,0.002,0,0,0,
63,2019,1,경기도 양평군,양서,하천수,(주)다솔물환경연구소,0,불검출,0,0,0,0,0,0,0,0,1.4,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,적합,적합,0,1,0,7.8,0,11.6,85,0,0.01,0.04,6,0,0.6,0,0.01,불검출,0.0025,0,0.0017,0,0.022,0.004,0.001,0,0,0,
64,2019,1,경기도 양평군,양평통합,복류수,(주)다솔물환경연구소,0,불검출,0,0,0,0,0,0,0,0,3.1,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1.9,적합,적합,0,1,0,7.4,0,18,139,0,0,0.03,12,0,0.92,0,0.009,불검출,0.0025,0,0,0,0.027,0.005,0.002,0,0,0,
65,2019,1,강원도 춘천시,소양,하천수,자체수질검사,0,불검출,0,0.23,0,0,0,0,0,0,1.2,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.4,적합,적합,0,1,0,7.6,0,8.9,42,0,0,0.02,6,0,0.77,0,0.02,불검출,0,0,0,0,0,0.001,0,0,0,0,
66,2019,1,강원도 춘천시,용산,하천수,자체수질검사,0,불검출,0,0.24,0,0,0,0,0,0,1.1,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1.4,적합,적합,0,1,0,7.7,0,8.7,44,0,0,0.02,6,0,0.86,0,0.022,불검출,0,0,0,0,0,0.001,0,0,0,0,
67,2019,1,강원도 원주시,귀래,지하수,원주시 상.하수도사업본부,0,불검출,0,0,0,0,0,0,0,0,3.1,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.9,적합,적합,0,1,0,7,0.008,21.6,129,0,0,0.09,11,0,0.46,0.01,0,불검출,0.0005,0.0005,0.0007,0,0.003,0.002,0.002,0,0,0,0.1
